Serial;Model;Color;Gear;Fuel type;Year;Km;Price
147;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;15;199475;36500
156;1.6 TS;Silver Gray;Manual;Benzine & LPG;21;185000;26750
156;2.0 TS;Silver Gray;Manual;Benzine & LPG;20;170000;26500
156;2.0 TS;Silver Gray;Manual;Benzine & LPG;20;360000;24500
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;14;262000;35900
156;2.0 TS;Silver Gray;Manual;Benzine & LPG;21;258000;23500
156;1.6 TS;Silver Gray;Manual;Benzine & LPG;20;307000;23750
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;14;142000;42500
156;2.0 TS;Silver Gray;Manual;Benzine & LPG;20;268000;25750
156;1.6 TS;Silver Gray;Manual;Benzine & LPG;21;202000;23000
156;2.0 TS Executive;Silver Gray;Manual;Benzine & LPG;20;240000;29499
145;1.4 TS STD;Silver Gray;Manual;Benzine & LPG;20;217000;15500
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;15;205000;42000
156;1.6 TS;Silver Gray;Manual;Benzine & LPG;20;200000;30000
155;2.0 TS;Silver Gray;Manual;Benzine & LPG;25;335000;19250
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;16;244000;28000
156;2.0 TS Executive;Silver Gray;Manual;Benzine & LPG;20;219000;25500
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;15;263800;32750
156;1.6 TS Distinctive;Silver Gray;Manual;Benzine & LPG;17;275000;27950
166;2.0 TS Executive;Silver Gray;Manual;Benzine & LPG;17;210211;30500
147;2.0 TS Selespeed Distinctive;Silver Gray;Semi Automatic;Benzine & LPG;14;184500;29500
Giulietta;1.6 JTD Distinctive;Silver Gray;Manual;Diesel;8;217000;67500
159;1.9 JTD Distinctive Plus;Silver Gray;Automatic;Diesel;12;180000;66750
159;1.9 JTD Distinctive;Silver Gray;Automatic;Diesel;11;238000;58800
159;1.9 JTD Distinctive Plus;Silver Gray;Automatic;Diesel;10;170000;72500
146;1.6 TS;Smoked;Manual;Benzine;20;11000;24900
GT;2.0 JTS Distinctive;Smoked;Manual;Benzine;13;164000;71000
GT;2.0 JTS Dis.Selespeed;Smoked;Semi Automatic;Benzine;13;126000;58500
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;272000;40000
156;1.6 TS;Smoked;Manual;Benzine & LPG;19;270000;22000
147;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;13;145000;41500
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;182500;38500
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;18;199000;29750
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;290000;31000
147;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;14;188000;33750
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;276000;34500
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;14;188000;48750
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;13;298900;37500
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;226000;29750
147;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;13;225000;35750
156;2.0 TS Executive;Smoked;Manual;Benzine & LPG;18;265000;30000
156;1.6 TS Distinctive;Smoked;Manual;Benzine & LPG;15;332000;28500
Giulietta;1.6 JTD Progression Plus;Smoked;Manual;Diesel;5;89476;102000
159;1.9 JTD Distinctive;Smoked;Manual;Diesel;12;307000;55000
159;1.9 JTD Distinctive Plus;Smoked;Semi Automatic;Diesel;10;150000;67000
Giulietta;1.6 JTD Progression;Smoked;Automatic;Diesel;1;7858;139500
146;1.6 TS;Turquoise;Manual;Benzine & LPG;21;235000;18000
145;1.6 TS Sportivo;Orange;Manual;Benzine;19;205000;13500
Giulietta;1.4 TB Progression Plus;White;Manual;Benzine;8;105500;76500
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;8;134000;75500
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;7;34500;93750
GTV;2.0 TB;White;Manual;Benzine;23;217000;68000
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;8;122500;77900
GTV;2.0 TB;White;Manual;Benzine;22;142000;69000
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;8;87000;97000
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;7;131000;81500
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;6;168000;65000
Giulietta;1.4 TB Distinctive;White;Manual;Benzine;7;126500;86000
Giulietta;1.4 TB Progression Plus;White;Manual;Benzine;5;240000;45000
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;8;159500;90000
Spider;2.0 TS;White;Manual;Benzine;23;90000;65000
Giulietta;1.4 TB Distinctive;White;Manual;Benzine;8;130000;74000
147;1.6 TS Collezione;White;Manual;Benzine;10;99980;60000
75;2.0 Twin Spark;White;Manual;Benzine;28;220000;43750
Giulietta;1.4 TB MultiAir Distinctive;White;Manual;Benzine;8;106000;87500
MiTo;1.4 T MultiAir TCT Sportivo;White;Semi Automatic;Benzine;8;87000;76500
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;85500;78900
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;110000;92000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;4;76000;120000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;6;99000;87500
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;98000;83500
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;77000;89000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;6;95000;89900
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;6;90000;93500
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;4;38000;139000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;5;58500;108500
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;5;86500;89000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;99000;109000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;5;102000;108000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;7;161000;87500
Giulietta;1.4 TB MultiAir Progression Pluse;White;Semi Automatic;Benzine;7;54000;107500
MiTo;1.4 T MultiAir TCT Sportivo;White;Semi Automatic;Benzine;6;110000;89000
Giulietta;1.4 TB MultiAir Distinctive;White;Semi Automatic;Benzine;5;71200;103900
Giulietta;1.4 TB MultiAir Distinctive;White;Automatic;Benzine;4;67750;118900
Giulietta;1.4 TB MultiAir Super TCT;White;Automatic;Benzine;3;33500;145000
Giulietta;1.4 TB Progression Plus;White;Manual;Benzine & LPG;6;56000;86000
156;1.6 TS Distinctive;White;Manual;Benzine & LPG;18;270000;30000
147;1.6 TS Black Line;White;Manual;Benzine & LPG;10;175000;38500
MiTo;1.4 T Distinctive;White;Manual;Benzine & LPG;9;172932;65500
156;1.6 TS;White;Manual;Benzine & LPG;21;265000;20500
146;1.6 TS;White;Manual;Benzine & LPG;22;280000;15900
147;1.6 TS Distinctive;White;Manual;Benzine & LPG;13;169200;48500
146;1.6 L;White;Manual;Benzine & LPG;23;170000;17750
MiTo;1.4 T Progression;White;Manual;Benzine & LPG;10;198500;49000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;104000;93500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;277000;60750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;157000;82250
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;81000;93000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;135000;79000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;98000;78000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;180000;71000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;155000;78750
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;7;240000;63950
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;75000;95000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;200000;70000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;6;158000;68750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;122500;91500
MiTo;1.6 JTD Distinctive;White;Manual;Diesel;9;149000;56750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;240000;81500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;82000;93750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;220000;70500
MiTo;1.6 JTD Distinctive;White;Manual;Diesel;8;162000;62750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;103000;97000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;7;160000;75000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;169200;66500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;144000;78000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;126000;94900
MiTo;1.3 JTD City;White;Manual;Diesel;7;171000;61000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;6;136000;76500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;118400;89500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;149000;93500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;144000;81000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;140000;72000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;7;180000;70500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;175000;66750
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;4;103000;91500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;105000;80000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;117212;84000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;151000;78000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;94000;92000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;175000;78500
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;8;230000;57750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;183000;68000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;77000;110000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;153350;71500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;137000;73500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;204000;82000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;5;130000;102500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;220000;64500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;107000;87000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;4;83000;110000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;85000;111750
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;7;75000;109999
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;177000;66500
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;8;199850;68500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;164000;77000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;6;215000;68450
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;148500;80000
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;4;119000;85900
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;4;135000;82500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;5;157000;82500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;244000;60900
Giulietta;1.6 JTD Progression Plus;White;Manual;Diesel;5;112000;73000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;170000;82000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;205000;75000
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;8;259000;62500
Giulietta;1.6 JTD Distinctive;White;Manual;Diesel;6;145000;77750
Giulietta;1.6 JTD Progression;White;Semi Automatic;Diesel;2;15500;142500
Giulietta;1.6 JTD Progression;White;Semi Automatic;Diesel;2;15500;143000
Giulietta;1.6 JTD Progression;White;Semi Automatic;Diesel;1;39000;134900
159;1.9 JTD Distinctive Plus;White;Semi Automatic;Diesel;10;175000;88000
159;1.9 JTD Distinctive Plus;White;Semi Automatic;Diesel;8;159000;83000
159;1.9 JTD Distinctive Plus;White;Semi Automatic;Diesel;8;161872;98000
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;1;0;183500
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;3;111000;132500
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;2;40000;140000
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;1;10000;142000
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;2;25500;139750
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;2;36000;141500
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;3;104000;117750
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;3;67000;124000
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;3;85000;130000
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;3;62000;119950
159;1.9 JTD Distinctive Plus;White;Automatic;Diesel;10;225000;73750
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;2;42500;137500
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;1;19500;142500
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;1;42000;142750
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;1;20000;142000
Giulietta;1.6 JTD Super TCT;White;Automatic;Diesel;3;60000;131000
Giulietta;1.6 JTD Progression;White;Automatic;Diesel;1;29000;138000
164;2.0 TS;Green;Manual;Benzine & LPG;24;193721;19000
164;2.0 TS;Green;Manual;Benzine & LPG;25;170000;22900
145;44743;Green;Manual;Benzine & LPG;24;274000;19750
156;2.0 TS;Green;Manual;Benzine & LPG;21;208000;27500
156;2.0 TS;Green;Manual;Benzine & LPG;21;18980;17900
156;1.6 TS;Green;Manual;Benzine & LPG;19;228000;27500
146;1.6 TS;Green;Manual;Benzine & LPG;23;300000;16250
159;1.9 JTD Distinctive Plus;Green;Semi Automatic;Diesel;11;171000;63750
